Commercial,Industrial,Residential,Transportation
12093.35275,8018.461217,28752.08322,42745.18682
10478.40664,7914.890495,19880.39561,41815.65313
9221.944336,7504.022134,21583.80915,45548.41767
8768.886462,7491.068629,24566.28588,55458.11936
9012.149214,7582.34504,22472.49167,63063.62563
8838.533944,7609.380624,21494.70384,65665.87976
8800.432871,7579.448423,21706.40944,74702.1901
8954.689781,7538.24362,20138.29382,99871.04462
9360.925324,7492.47682,22230.14881,131820.4221
3070.512375,7438.738749,30484.52439,155739.0616
3007.471456,7546.021221,35698.75577,127655.1499
2854.007455,7754.701822,37705.41456,75404.05057
2632.378301,7836.16327,38673.46653,54680.23305
2484.311523,7477.17853,36489.68446,41830.09786
2303.337902,7126.476381,23137.39905,35342.08883
2182.928957,6818.603518,16026.44237,26219.24991
2071.573968,6472.167973,10695.58556,17876.49456
2011.65314,6306.629674,7592.971933,13505.82232
1980.755577,6285.784077,4402.793365,10439.60388
2009.012024,6222.319031,4286.246842,10492.00248
2116.973906,6283.687033,6229.351893,9736.766141
2300.501384,6883.235971,10550.93401,15388.92155
15201.05791,7971.971567,20848.14358,19868.99506
16111.94937,8340.162122,30168.90255,37208.5558
13557.24484,8078.294944,28619.04316,42633.93519
11596.80543,7936.272178,19772.07378,41654.68192
10122.17204,7538.901186,21520.19425,45491.95427
9591.873231,7538.249235,24532.88276,55470.47894
9770.072797,7622.008415,22451.30414,63048.00562
9575.264035,7657.356714,21485.61525,65686.50283
9494.961924,7623.023885,21682.06441,74676.28444
9626.264677,7575.573988,20124.10971,99734.72347
10040.3053,7479.622287,22092.68575,130995.7322
3034.2703,7389.779697,30301.66282,154119.1636
2952.583007,7463.015795,35328.38061,125738.516
2792.763511,7626.64471,37164.385,74204.02638
2574.408821,7694.618934,37926.14642,53742.35974
2425.899758,7359.335593,35680.12217,41088.03673
2254.535637,7025.758225,22781.136,34912.28527
2140.983125,6741.120606,15831.16007,25988.96612
2052.920353,6398.365674,10644.1163,17805.01127
1990.5541,6220.697629,7544.329055,13438.98828
1961.827773,6203.001525,4381.336224,10403.6527
1986.395352,6124.298754,4237.896727,10434.34929
2088.277587,6168.578286,6133.676147,9656.491011
2266.937722,6690.427409,10344.76488,15166.04588
14213.71015,7592.710558,20538.78942,19533.69815
15661.75258,8081.228742,29704.50963,36555.03824
13457.14562,7937.341091,28423.65949,42240.86856
11743.91501,7944.729839,19927.55826,41837.74874
10229.00435,7615.488465,21860.89981,46076.02997
9717.478425,7635.959756,24971.54904,56269.92571
9877.501,7741.587692,22950.548,64172.62197
9672.911304,7789.573509,21998.54814,66930.64613
9538.122153,7730.318981,22155.56119,75875.95782
9577.561102,7641.108171,20474.2794,100877.083
9883.049182,7483.80654,22308.68379,131537.8431
3015.604486,7289.928438,29465.17107,153007.4511
2899.002467,7287.312031,34176.33259,123343.9622
2731.507669,7379.162989,35824.44904,72440.19879
